Date;Region;Population;Tests;Confirmed;Deaths;Recovered
2020-03-09;W. Europe;359687692;61709;14508;518;796
2020-03-10;Asia;3957174086;210144;89547;3206;60708
2020-03-10;C. Europe;64296279;1358;79;0;0
2020-03-10;Carribean;21775009;;5;0;0
2020-03-10;Common Wealth;135529136;26261;575;10;48
2020-03-10;E. Europe;324658565;1643;182;0;10
2020-03-10;Israel;9166920;;83;0;4
2020-03-10;Latin America;575907654;;108;1;4
2020-03-10;Middle East, North Africa;532839714;;8563;301;2782
2020-03-10;Subsaharan Africa;798663011;;17;0;1
2020-03-10;USA;329379809;18209;892;28;8
2020-03-10;W. Europe;359687692;69575;17775;710;799
2020-03-11;Asia;3957174086;222395;89969;3241;62251
2020-03-11;C. Europe;64296279;1816;145;0;0
2020-03-11;Carribean;21775009;;5;0;0
2020-03-11;Common Wealth;135529136;27476;700;12;48
2020-03-11;E. Europe;324658565;;264;2;16
2020-03-11;Israel;9166920;;109;0;4
2020-03-11;Latin America;575907654;;155;2;4
2020-03-11;Middle East, North Africa;532839714;;9876;366;3067
2020-03-11;Subsaharan Africa;798663011;;30;0;1
2020-03-11;USA;329379809;;1214;36;8
2020-03-11;W. Europe;359687692;79023;22624;949;1279
2020-03-12;Asia;3957174086;234998;90122;3260;63556
2020-03-12;C. Europe;64296279;2353;172;1;0
2020-03-12;Carribean;21775009;;8;0;0
2020-03-12;Common Wealth;135529136;29764;709;12;48
2020-03-12;E. Europe;324658565;;336;2;16
2020-03-12;Israel;9166920;;131;0;4
2020-03-12;Latin America;575907654;;190;3;4
